                    1   0.0000000000000000       -101.78579669348561     
                    2   2.0000000000000000E-003  -101.78806610043031     
                    3   4.0000000000000001E-003  -101.79087435749808     
                    4   6.0000000000000001E-003  -101.79422152904228     
                    5   8.0000000000000002E-003  -101.79810769996891     
                    6   1.0000000000000000E-002  -101.80253297574471     
                    7   1.2000000000000000E-002  -101.80749748240726     
                    8   1.4000000000000000E-002  -101.81300136657738     
                    9   1.6000000000000000E-002  -101.81904479547359     
                   10   1.8000000000000002E-002  -101.82562795692857     
                   11   2.0000000000000000E-002  -101.83275105940795     
                   12   2.1999999999999999E-002  -101.84041433203097     
                   13   2.4000000000000000E-002  -101.84861802459341     
                   14   2.6000000000000002E-002  -101.85736240759267     
                   15   2.8000000000000001E-002  -101.86664777225498     
                   16   2.9999999999999999E-002  -101.87647443056456     
                   17   3.2000000000000001E-002  -101.88684271529526     
                   18   3.4000000000000002E-002  -101.89775298004402     
                   19   3.6000000000000004E-002  -101.90920559926666     
                   20   3.7999999999999999E-002  -101.92120096831589     
                   21   4.0000000000000001E-002  -101.93373950348132     
                   22   4.2000000000000003E-002  -101.94682164203182     
                   23   4.3999999999999997E-002  -101.96044784225995     
                   24   4.5999999999999999E-002  -101.97461858352861     
                   25   4.8000000000000001E-002  -101.98933436631988     
                   26   5.0000000000000003E-002  -102.00459571228620     
                   27   5.2000000000000005E-002  -102.02040316430374     
                   28   5.3999999999999999E-002  -102.03675728652770     
                   29   5.6000000000000001E-002  -102.05365866445038     
                   30   5.8000000000000003E-002  -102.07110790496111     
                   31   5.9999999999999998E-002  -102.08910563640859     
                   32   6.2000000000000000E-002  -102.10765250866555     
                   33   6.4000000000000001E-002  -102.12674919319565     
                   34   6.6000000000000003E-002  -102.14639638312266     
                   35   6.8000000000000005E-002  -102.16659479330207     
                   36   7.0000000000000007E-002  -102.18734516039493     
                   37   7.2000000000000008E-002  -102.20864824294415     
                   38   7.3999999999999996E-002  -102.23050482145300     
                   39   7.5999999999999998E-002  -102.25291569846627     
                   40   7.8000000000000000E-002  -102.27588169865351     
                   41   8.0000000000000002E-002  -102.29940366889494     
                   42   8.2000000000000003E-002  -102.32348247836970     
                   43   8.4000000000000005E-002  -102.34811901864646     
                   44   8.6000000000000007E-002  -102.37331420377673     
                   45   8.7999999999999995E-002  -102.39906897039036     
                   46   8.9999999999999997E-002  -102.42538427779392     
                   47   9.1999999999999998E-002  -102.45226110807127     
                   48   9.4000000000000000E-002  -102.47970046618678     
                   49   9.6000000000000002E-002  -102.50770338009134     
                   50   9.8000000000000004E-002  -102.53627090083057     
                   51  0.10000000000000001       -102.56540410265607     
                   52  0.10200000000000001       -102.59510408313898     
                   53  0.10400000000000001       -102.62537196328627     
                   54  0.10600000000000000       -102.65620888765991     
                   55  0.10800000000000000       -102.68761602449854     
                   56  0.11000000000000000       -102.71959456584196     
                   57  0.11200000000000000       -102.75214572765840     
                   58  0.11400000000000000       -102.78527074997453     
                   59  0.11600000000000001       -102.81897089700824     
                   60  0.11800000000000001       -102.85324745730448     
                   61  0.12000000000000000       -102.88810174387376     
                   62  0.12200000000000000       -102.92353509433362     
                   63  0.12400000000000000       -102.95954887105300     
                   64  0.12600000000000000       -102.99614446129972     
                   65  0.12800000000000000       -103.03332327739072     
                   66  0.13000000000000000       -103.07108675684550     
                   67  0.13200000000000001       -103.10943636254261     
                   68  0.13400000000000001       -103.14837358287915     
                   69  0.13600000000000001       -103.18789993193342     
                   70  0.13800000000000001       -103.22801694963086     
                   71  0.14000000000000001       -103.26872620191286     
                   72  0.14200000000000002       -103.31002928090923     
                   73  0.14400000000000002       -103.35192780511368     
                   74  0.14599999999999999       -103.39442341956250     
                   75  0.14799999999999999       -103.43751779601688     
                   76  0.14999999999999999       -103.48121263314844     
                   77  0.15200000000000000       -103.52550965672812     
                   78  0.15400000000000000       -103.57041061981865     
                   79  0.15600000000000000       -103.61591730297039     
                   80  0.15800000000000000       -103.66203151442070     
                   81  0.16000000000000000       -103.70875509029695     
                   82  0.16200000000000001       -103.75608989482289     
                   83  0.16400000000000001       -103.80403782052888     
                   84  0.16600000000000001       -103.85260078846545     
                   85  0.16800000000000001       -103.90178074842049     
                   86  0.17000000000000001       -103.95157967914000     
                   87  0.17200000000000001       -104.00199958855241     
                   88  0.17400000000000002       -104.05304251399610     
                   89  0.17599999999999999       -104.10471052245029     
                   90  0.17799999999999999       -104.15700571076893     
                   91  0.17999999999999999       -104.20993020591717     
                   92  0.18200000000000000       -104.26348616521028     
                   93  0.18400000000000000       -104.31767577655401     
                   94  0.18600000000000000       -104.37250125868574     
                   95  0.18800000000000000       -104.42796486141523     
                   96  0.19000000000000000       -104.48406886586309     
                   97  0.19200000000000000       -104.54081558469490     
                   98  0.19400000000000001       -104.59820736234764     
                   99  0.19600000000000001       -104.65624657524435     
                  100  0.19800000000000001       -104.71493563199091     
                  101  0.20000000000000001       -104.77427697354710     
