                    1   5.0000000000000001E-003 -0.13220924096071229     
                    2   1.4999999999999999E-002 -0.39643888748255307     
                    3   2.5000000000000001E-002 -0.66010838364942270     
                    4   3.5000000000000003E-002 -0.92284781499198920     
                    5   4.4999999999999998E-002  -1.1842928033943421     
                    6   5.5000000000000000E-002  -1.4440872588933835     
                    7   6.5000000000000002E-002  -1.7018867768416952     
                    8   7.5000000000000011E-002  -1.9573630485718863     
                    9   8.4999999999999992E-002  -2.2102098544401736     
                   10   9.5000000000000001E-002  -2.4601515509017324     
                   11  0.10500000000000001       -2.7069555597085695     
                   12  0.11499999999999999       -2.9504514341109114     
                   13  0.12500000000000000       -3.1905610463016352     
                   14  0.13500000000000001       -3.4273482108941846     
                   15  0.14500000000000002       -3.6611035780664798     
                   16  0.15500000000000000       -3.8924963078760264     
                   17  0.16500000000000001       -4.1228583314209608     
                   18  0.17499999999999999       -4.3547456725718883     
                   19  0.18500000000000000       -4.5931082490669759     
                   20  0.19500000000000001       -4.8478331284240239     
